INSTRUMENT,SPREAD TYPE,TARGET SPREAD,MIN TRADED QUANTITY,MARGIN**,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS*
AUD/BGN,Fixed,0.0013,5000,1%,0.000004,-0.000090,00:00 to 24:00
AUD/CAD,Fixed,0.0010,5000,0.5%,0.000025,-0.000056,00:00 to 24:00
AUD/CHF,Fixed,0.0010,5000,2%,0.000010,-0.000060,00:00 to 24:00
AUD/CNH,Floating,0.0049,2000,3%,-0.000541,-0.000071,00:00 to 24:00
AUD/CZK,Floating,0.026,5000,1%,0.000049,-0.001101,00:00 to 24:00
AUD/DKK,Floating,0.0033,5000,1%,0.000014,-0.000310,00:00 to 24:00
AUD/HKD,Floating,0.0028,2000,2%,-0.000047,-0.000321,00:00 to 24:00
AUD/ILS,Floating,0.0035,5000,1%,0.000004,-0.000152,00:00 to 24:00
AUD/JPY,Fixed,0.049,5000,0.5%,0.000115,-0.004725,00:00 to 24:00
AUD/MXN,Floating,0.0120,5000,1%,-0.000872,-0.000295,00:00 to 24:00
AUD/NOK,Floating,0.0049,5000,1%,0.000009,-0.000330,00:00 to 24:00
AUD/NZD,Fixed,0.0011,5000,0.5%,-0.000036,-0.000027,00:00 to 24:00
AUD/PLN,Floating,0.0033,5000,1%,-0.000077,-0.000115,00:00 to 24:00
AUD/RON,Floating,0.0059,5000,1%,-0.000127,-0.000118,00:00 to 24:00
AUD/RUB,Floating,0.069,2000,4%,-0.012054,0.000706,00:00 to 24:00
AUD/SEK,Floating,0.0049,5000,1%,0.000092,-0.000497,00:00 to 24:00
AUD/SGD,Floating,0.00079,5000,1%,-0.000003,-0.000057,00:00 to 24:00
AUD/TRY,Floating,0.0024,5000,1%,-0.000500,0.000019,00:00 to 24:00
AUD/USD,Floating,0.00015,5000,0.5%,-0.000005,-0.000033,00:00 to 24:00
AUD/ZAR,Floating,0.0088,5000,1%,-0.001370,-0.000192,00:00 to 24:00
BGN/AUD,Fixed,0.0006,5000,1%,-0.000053,0.000002,00:00 to 24:00
BGN/CAD,Fixed,0.0006,5000,1%,-0.000013,-0.000019,00:00 to 24:00
BGN/CNH,Floating,0.0029,2000,3%,-0.000580,0.000066,00:00 to 24:00
BGN/CZK,Floating,0.017,5000,1%,-0.000527,-0.000433,00:00 to 24:00
BGN/DKK,Floating,0.00250,2000,3%,-0.000148,-0.000122,00:00 to 24:00
BGN/HUF,Floating,0.33,5000,1%,-0.007669,-0.003068,00:00 to 24:00
BGN/ILS,Floating,0.0024,5000,1%,-0.000083,-0.000054,00:00 to 24:00
BGN/JPY,Fixed,0.03,5000,1%,-0.002568,-0.001683,00:00 to 24:00
BGN/MXN,Floating,0.0074,5000,1%,-0.001117,0.000101,00:00 to 24:00
BGN/NOK,Floating,0.0024,5000,1%,-0.000193,-0.000107,00:00 to 24:00
BGN/NZD,Fixed,0.0010,5000,1%,-0.000062,0.000005,00:00 to 24:00
BGN/PLN,Floating,0.0018,5000,1%,-0.000149,-0.000023,00:00 to 24:00
BGN/RON,Floating,0.0039,5000,1%,-0.000194,-0.000019,00:00 to 24:00
BGN/RUB,Floating,0.069,2000,4%,-0.010617,0.001536,00:00 to 24:00
BGN/SEK,Floating,0.0025,5000,1%,-0.000138,-0.000229,00:00 to 24:00
BGN/SGD,Floating,0.0007,5000,1%,-0.000035,-0.000020,00:00 to 24:00
BGN/TRY,Floating,0.0015,5000,1%,-0.000470,0.000077,00:00 to 24:00
BGN/ZAR,Floating,0.0059,5000,1%,-0.001369,0.000084,00:00 to 24:00
Bitcoin,Floating,2.9,1,7.5%,-0.852611,-0.765043,00:00 to 24:00
CAD/AUD,Fixed,0.0009,5000,1%,-0.000055,0.000025,00:00 to 24:00
CAD/BGN,Fixed,0.0012,5000,1%,-0.000032,-0.000022,00:00 to 24:00
CAD/CHF,Fixed,0.0006,5000,2%,-0.000010,-0.000022,00:00 to 24:00
CAD/CNH,Floating,0.0050,2000,3%,-0.000677,0.000196,00:00 to 24:00
CAD/CZK,Floating,0.027,5000,1%,-0.000432,-0.000175,00:00 to 24:00
CAD/DKK,Floating,0.0035,5000,1%,-0.000122,-0.000049,00:00 to 24:00
CAD/HKD,Floating,0.0031,2000,1%,-0.000205,-0.000016,00:00 to 24:00
CAD/ILS,Floating,0.0034,5000,1%,-0.000069,-0.000012,00:00 to 24:00
CAD/JPY,Fixed,0.055,5000,0.5%,-0.002150,-0.000366,00:00 to 24:00
CAD/MXN,Floating,0.008,5000,1%,-0.001247,0.000435,00:00 to 24:00
CAD/NOK,Floating,0.0049,5000,1%,-0.000162,-0.000002,00:00 to 24:00
CAD/NZD,Fixed,0.0012,5000,1%,-0.000065,0.000029,00:00 to 24:00
CAD/PLN,Floating,0.0033,5000,1%,-0.000153,0.000031,00:00 to 24:00
CAD/RON,Floating,0.0059,5000,1%,-0.000208,0.000041,00:00 to 24:00
CAD/RUB,Floating,0.069,2000,4%,-0.013115,0.002905,00:00 to 24:00
CAD/SEK,Floating,0.0049,5000,1%,-0.000086,-0.000154,00:00 to 24:00
CAD/SGD,Floating,0.0011,5000,1%,-0.000031,-0.000003,00:00 to 24:00
CAD/TRY,Floating,0.0022,5000,1%,-0.000569,0.000158,00:00 to 24:00
CAD/ZAR,Floating,0.0090,5000,1%,-0.001630,0.000324,00:00 to 24:00
CHF/BGN,Fixed,0.0016,5000,2%,-0.000095,-0.000049,00:00 to 24:00
CHF/CAD,Floating,0.0009,5000,2%,-0.000043,-0.000019,00:00 to 24:00
CHF/CNH,Floating,0.0055,2000,3%,-0.001138,0.000198,00:00 to 24:00
CHF/CZK,Floating,0.029,5000,2%,-0.001282,-0.000499,00:00 to 24:00
CHF/DKK,Floating,0.0035,5000,1%,-0.000360,-0.000140,00:00 to 24:00
CHF/HKD,Floating,0.0036,2000,4%,-0.000509,-0.000107,00:00 to 24:00
CHF/HUF,Floating,0.58,5000,2%,-0.017689,-0.002280,00:00 to 24:00
CHF/ILS,Floating,0.0040,5000,4%,-0.000199,-0.000055,00:00 to 24:00
CHF/JPY,Fixed,0.05,5000,2%,-0.006195,-0.001716,00:00 to 24:00
CHF/MXN,Floating,0.0110,5000,2%,-0.002271,0.000401,00:00 to 24:00
CHF/NOK,Floating,0.0048,5000,2%,-0.000466,-0.000093,00:00 to 24:00
CHF/PLN,Floating,0.0034,5000,2%,-0.000321,0.000002,00:00 to 24:00
CHF/RON,Floating,0.0059,5000,2%,-0.000406,0.000013,00:00 to 24:00
CHF/RUB,Floating,0.079,2000,4%,-0.019853,0.003420,00:00 to 24:00
CHF/SEK,Floating,0.0049,5000,2%,-0.000371,-0.000309,00:00 to 24:00
CHF/SGD,Floating,0.0010,5000,2%,-0.000083,-0.000019,00:00 to 24:00
CHF/TRY,Floating,0.0023,5000,2%,-0.000893,0.000181,00:00 to 24:00
CHF/ZAR,Floating,0.0080,5000,2%,-0.002645,0.000306,00:00 to 24:00
CNH/CZK,Floating,0.0065,10000,3%,0.000057,-0.000482,00:00 to 24:00
CNH/HUF,Floating,0.089,10000,3%,0.000278,-0.005119,00:00 to 24:00
CNH/JPY,Floating,0.015,10000,3%,0.000247,-0.002181,00:00 to 24:00
CNH/MXN,Floating,0.0029,10000,3%,-0.000132,-0.000269,00:00 to 24:00
CNH/RUB,Floating,0.015,10000,5%,-0.002237,-0.000505,00:00 to 24:00
CNH/ZAR,Floating,0.0023,10000,3%,-0.000241,-0.000187,00:00 to 24:00
CZK/HUF,Floating,0.028,50000,1%,-0.000485,-0.000226,00:00 to 24:00
CZK/JPY,Floating,0.0059,50000,1%,-0.000157,-0.000124,00:00 to 24:00
CZK/RUB,Floating,0.0049,50000,4%,-0.000767,0.000113,00:00 to 24:00
DKK/CZK,Floating,0.0039,25000,2%,-0.000114,-0.000114,00:00 to 24:00
DKK/HUF,Floating,0.069,25000,2%,-0.001727,-0.000806,00:00 to 24:00
DKK/JPY,Floating,0.0079,25000,1%,-0.000559,-0.000442,00:00 to 24:00
DKK/MXN,Floating,0.0021,25000,1%,-0.000274,0.000027,00:00 to 24:00
DKK/RUB,Floating,0.014,20000,3%,-0.002730,0.000404,00:00 to 24:00
DKK/ZAR,Floating,0.0017,25000,1%,-0.000346,0.000022,00:00 to 24:00
EUR/AUD,Fixed,0.00069,5000,0.5%,-0.000102,0.000031,00:00 to 24:00
EUR/CAD,Fixed,0.00069,5000,0.5%,-0.000024,-0.000010,00:00 to 24:00
EUR/CHF,Floating,0.00025,5000,1%,-0.000028,-0.000038,00:00 to 24:00
EUR/CNH,Floating,0.0049,2000,3%,-0.001123,0.000267,00:00 to 24:00
EUR/CZK,Floating,0.025,5000,1%,-0.000993,-0.000368,00:00 to 24:00
EUR/DKK,Floating,0.00120,2000,3%,-0.000279,-0.000103,00:00 to 24:00
EUR/GBP,Floating,0.00022,5000,1%,-0.000039,-0.000006,00:00 to 24:00
EUR/HKD,Floating,0.0028,2000,2%,-0.000422,-0.000058,00:00 to 24:00
