INSTRUMENT,COMPANY,MIN TRADED QUANTITY,MARGIN,LONG POSITION SWAP,SHORT POSITION SWAP,MARKET HOURS *
21CenturyFox,Twenty-First Century Fox Inc,10,5%,-0.002636,-0.00113,1:30 pm to 8:00 pm
AA,Alcoa Inc.,20,5%,-0.003139,-0.001345,1:30 pm to 8:00 pm
AAL,Anglo American plc,30,5%,-0.000909,-0.000606,7:00 am to 3:30 pm
AAPL,Apple Inc.,1,5%,-0.014876,-0.006375,1:30 pm to 8:00 pm
AberdeenAM,Aberdeen Asset Management plc,100,5%,-0.000241,-0.000161,7:00 am to 3:30 pm
Abertis,Abertis Infraestructuras S.A.,15,5%,-0.001136,-0.001135,7:00 am to 3:30 pm
AC,ACCOR SA,15,5%,-0.00287,-0.002867,7:00 am to 3:30 pm
ACA,CREDIT AGRICOLE SA,50,5%,-0.000993,-0.000992,7:00 am to 3:30 pm
ADBE,Adobe Systems Incorporated,10,5%,-0.013266,-0.005686,1:30 pm to 8:00 pm
ADP,Automatic Data Processing,10,5%,-0.009587,-0.004109,1:30 pm to 8:00 pm
ADS,adidas AG,5,5%,-0.011994,-0.011985,7:00 am to 3:30 pm
ADSK,Autodesk; Inc.,10,5%,-0.010689,-0.004581,1:30 pm to 8:00 pm
Aegon,AEGON NV,40,5%,-0.000307,-0.000307,7:00 am to 3:30 pm
AGL,AUTOGRILL,75,5%,-0.000733,-0.000732,7:00 am to 3:25 pm
AgnicoEagle,Agnico Eagle Mines Ltd,5,5%,-0.005543,-0.003696,1:30 pm to 8:00 pm
Agrium,Agrium Inc,3,5%,-0.010421,-0.006948,1:30 pm to 8:00 pm
Ahold,Koninklijke Ahold N.V.,20,5%,-0.001399,-0.001398,7:00 am to 3:30 pm
AI,AIR LIQUIDE SA,5,5%,-0.007682,-0.007676,7:00 am to 3:30 pm
AIG,American International Group Inc.,10,5%,-0.005951,-0.00255,1:30 pm to 8:00 pm
Airbus,Airbus Group NV,5,5%,-0.005125,-0.005121,7:00 am to 3:30 pm
AirFranceKLM,Air France KLM SA,100,5%,-0.000646,-0.000646,7:00 am to 3:30 pm
AKAM,Akamai Technologies; Inc.,10,5%,-0.004606,-0.001974,1:30 pm to 8:00 pm
AlaskaAir,Alaska Air Group; Inc.,2,10%,-0.008221,-0.003523,1:30 pm to 8:00 pm
Alibaba,Alibaba Group,5,10%,-0.011975,-0.005132,1:30 pm to 8:00 pm
ALO,ALSTOM SA,20,5%,-0.00214,-0.002139,7:00 am to 3:30 pm
Alrosa,AK Alrosa PAO,100,20%,-0.033973,0.02139,7:00 am to 3:30 pm
ALV,Allianz SE,5,5%,-0.011807,-0.011798,7:00 am to 3:30 pm
AmadeusIT,Amadeus IT Holding SA,10,5%,-0.003599,-0.003596,7:00 am to 3:30 pm
AMAT,Applied Materials; Inc.,30,5%,-0.004283,-0.001836,1:30 pm to 8:00 pm
AMD,Advanced Micro Devices Inc.,10,5%,-0.001108,-0.000475,1:30 pm to 8:00 pm
AmericanAirlines,American Airlines Group Inc,10,5%,-0.004397,-0.001885,1:30 pm to 8:00 pm
AMGN,Amgen Inc,5,5%,-0.015218,-0.006522,1:30 pm to 8:00 pm
AMZN,Amazon.com; Inc,1,5%,-0.093338,-0.040002,1:30 pm to 8:00 pm
AnheuserBusch,Anheuser Busch Inbev SA,3,5%,-0.007335,-0.007329,7:00 am to 3:30 pm
Antofagasta,Antofagasta plc,50,5%,-0.000675,-0.00045,7:00 am to 3:30 pm
ANZ,Australia and New Zealand Banking Group,10,5%,-0.003364,-0.000594,12:03 am to 6:00 am
ASMLholding,ASML Holding NV,2,5%,-0.00837,-0.008363,7:00 am to 3:30 pm
AssecoPoland,Asseco Poland SA,5,10%,-0.005706,-0.001427,7:00 am to 2:45 pm
Astellas,Astellas Pharma Inc,30,5%,-0.102664,-0.094767,11:05 pm to 5:00 am
ATL,ATLANTIA,30,5%,-0.001729,-0.001727,7:00 am to 3:25 pm
AtlasCopco,Atlas Copco AB,10,5%,-0.022123,-0.021947,7:00 am to 3:25 pm
ATVI,Activision Blizzard; Inc.,25,5%,-0.005429,-0.002327,1:30 pm to 8:00 pm
Aviva,Aviva plc,80,5%,-0.000444,-0.000296,7:00 am to 3:30 pm
AXP,American Express Co,5,5%,-0.007462,-0.003198,1:30 pm to 8:00 pm
